TFSCR,1347 Capital Corp.
TFSCW,1347 Capital Corp.
ACST,"Acasti Pharma, Inc."
ACUR,"Acura Pharmaceuticals, Inc."
AEZS,AEterna Zentaris Inc.
ATEC,"Alphatec Holdings, Inc."
AMDA,Amedica Corporation
ANAD,"ANADIGICS, Inc."
AMCF,Andatee China Marine Fuel Services Corporation
ABAC,"Aoxin Tianli Group, Inc."
AUMAW,AR Capital Acquisition Corp.
ABIO,"ARCA biopharma, Inc."
ARWAR,Arowana Inc.
ARWAW,Arowana Inc.
ASTI,"Ascent Solar Technologies, Inc."
ATOS,Atossa Genetics Inc.
ADAT,Authentidate Holding Corp.
BHACR,Barington/Hilco Acquisition Corp.
BHACW,Barington/Hilco Acquisition Corp.
BGMD,"BG Medicine, Inc."
BIOD,Biodel Inc.
BVXVW,BiondVax Pharmaceuticals Ltd.
BSPM,"Biostar Pharmaceuticals, Inc."
BBLU,"Blue Earth, Inc."
CAMBW,CAMBRIDGE CAPITAL ACQUISITION CORPORATION
CAPNW,"Capnia, Inc."
CPST,Capstone Turbine Corporation
CRDC,"Cardica, Inc."
CNLMR,CB Pharma Acquisition Corp.
CNLMW,CB Pharma Acquisition Corp.
CLRBW,"Cellectar Biosciences, Inc."
KOOL,Cesca Therapeutics Inc.
HOTRW,"Chanticleer Holdings, Inc."
CALI,China Auto Logistics Inc.
CCCL,"China Ceramics Co., Ltd."
CCCR,"China Commercial Credit, Inc."
CREG,China Recycling Energy Corporation
CNTF,China TechFaith Wireless Communication Technology Limited
CNET,"ChinaNet Online Holdings, Inc."
CIDM,Cinedigm Corp
CLRX,"CollabRx, Inc."
CYHHZ,"Community Health Systems, Inc."
CHCI,"Comstock Holding Companies, Inc."
CFRXZ,ContraFect Corporation
CPAH,CounterPath Corporation
CYCC,"Cyclacel Pharmaceuticals, Inc."
CYTX,Cytori Therapeutics Inc
DAEG,Daegis Inc
DARA,"DARA Biosciences, Inc."
DCTH,"Delcath Systems, Inc."
DELTW,Delta Technology Holdings Limited
DXM,"Dex Media, Inc."
DSCO,"Discovery Laboratories, Inc."
DRWI,DragonWave Inc
DRWIW,DragonWave Inc
DRYS,DryShips Inc.
CADTR,DT Asia Investments Limited
CADTW,DT Asia Investments Limited
ELON,Echelon Corporation
ELECW,Electrum Special Acquisition Corporation
ETRM,EnteroMedics Inc.
ESCR,Escalera Resources Co.
ESSX,Essex Rental Corporation
FNTCW,FinTech Acquisition Corp.
FES,Forbes Energy Services Ltd
FREE,FreeSeas Inc.
FCEL,"FuelCell Energy, Inc."
FXEN,"FX Energy, Inc."
GALTW,Galectin Therapeutics Inc.
GGACR,Garnero Group Acquisition Company
GGACW,Garnero Group Acquisition Company
GIGM,GigaMedia Limited
GPIAW,GP Investments Acquisition Corp.
GTXI,"GTx, Inc."
GULTU,Gulf Coast Ultra Deep Royalty Trust
HNSN,"Hansen Medical, Inc."
HRMNW,Harmony Merger Corp.
HART          ,"Harvard Apparatus Regenerative Technology, Inc."
HERO,"Hercules Offshore, Inc."
CETC,Hongli Clean Energy Technologies Corp.
HDRAR,Hydra Industries Acquisition Corp.
HDRAW,Hydra Industries Acquisition Corp.
ICLDW,"InterCloud Systems, Inc"
INPH,Interphase Corporation
INVT,"Inventergy Global, Inc."
JASNW,"Jason Industries, Inc."
JOEZ,Joe&#39;s Jeans Inc.
KGJI,Kingold Jewelry Inc.
KUTV,"Ku6 Media Co., Ltd."
LFVN,Lifevantage Corporation
LLEX,"Lilis Energy, Inc."
LIQD,"Liquid Holdings Group, Inc."
LOOK,"LookSmart, Ltd."
LPTN,"Lpath, Inc."
MDVXW,Medovex Corp.
MEIL,METHES ENERGIES INTERNATIONAL LTD
MEILW,METHES ENERGIES INTERNATIONAL LTD
MEILZ,METHES ENERGIES INTERNATIONAL LTD
MICTW,"Micronet Enertec Technologies, Inc."
NETE,"Net Element, Inc."
NLST,"Netlist, Inc."
